TITLE,ENGLISH,ITALIAN,FRENCH,GERMAN,PORTUGUESE,SPANISH,DUTCH,TURKISH,SWEDISH,NOTES
label,en,it,fr,de,pt,es,nl,tr,se,nn
,,,,,,,,,,
,,,,,,,,,,
play game,,giocare gioco,Jouer,Spielen,jogar o jogo,jugar,Spelen,oyun oynamak,Spela,
more games,,altri giochi,Plus de jeux,Mehr Spiele,mais jogos,más juegos,Meer Spellen,Daha fazla oyna,fler spel,
,,,,,,,,,,
games for your site,,giochi per il tuo sito,Jeux pour ton site,Spiele für deine Website,jogos para o seu site,juegos para tu sitio,Spellen voor jouw website,Siteniz için oyunlar,spel till din hemsida,
credits,,crediti,crédits,Mitwirkende,créditos,créditos,De Makers,Credit,Medverkande,De Makers is literally the makers
back,,indietro,retour,Zurück,de volta,volver,terug,geri,tillbaka,
score,,punteggio,points,Punkte,contagem,score,score ,skor,poäng,
download,,scaricare,télécharger,Download,télécharger,descargar,downloaden,indirmek,hämta,
walkthrough,,spiegazione esauriente,Guide de jeu,Komplettlösung,passo a passo,paso a paso,walkthrough,walkthrough,genomgång,handleiding literally is manual. This text is not translated on the level UI
paused,,in pausa,pause,Pause,pausada,pausado,gepauseerd,duraklatıldı,pausad,
languages,,lingue,langues,Sprachen,línguas,idiomas,talen,diller,språk,Might be a better idea to keep this one languages everywhere
continue,,continuare,continuer,Fortsetzen,continuar,continuar,Doorgaan,devam etmek,fortsätt,
clear save,,cancellare salvare,effacer sauvegarder,Speicherstand löschen,limpar salvar,borrar datos,Opgeslagen spel verwijderen,kaydetmek temizleyin,rensa sparning,
free games,,giochi gratis,jeux gratuits,Kostenlose Spiele,jogos livres,juegos gratis,gratis spelletjes,ücretsiz oyunlar,gratis spel,
other games,,altri giochi,d'autres jeux,Andere Spiele,outros jogos,otros juegos,andere spellen,diğer oyunlar,andra spel,
play more,,giocare di più,plus de jeux,Mehr spielen,jogar mais,más juegos,speel meer spellen,Daha fazla oyna,spela mer,
great games,,grandi giochi,super jeux,Tolle Spiele,grandes jogos,grandes juegos,Geweldige spellen,büyük oyunlar,bra spel,
